 Alternative                   , Attribute           , Parameter                                                        ,   Value ,   St-Err ,   P-value ,   T-value 
 3-layers/2-sided scrub sponge , Benefit             , Will not scratch or damage cleaning surfaces                     ,0.072,0.096,0.454,0.75
 3-layers/2-sided scrub sponge , Claim               , Convenient as no soap required (infused with  cleaning detergent ,0.118,0.083,0.154,1.43
 3-layers/2-sided scrub sponge , Claim               , Create a shiny finish after use                                  ,0,0,1,0
 3-layers/2-sided scrub sponge , Claim               , Eco-friendly/Good for the environment                            ,0.177,0.097,0.068,1.83
 3-layers/2-sided scrub sponge , Claim               , Fun designs/ shapes to elevate your mood                         ,0.4,0.14,0.004,2.85
 3-layers/2-sided scrub sponge , Claim               , Guarantee satisfaction after use                                 ,0.183,0.09,0.043,2.02
 3-layers/2-sided scrub sponge , Claim               , Keeps your family safe                                           ,0.301,0.098,0.002,3.08
 3-layers/2-sided scrub sponge , Claim               ," Make cleaning a breeze, saves time to do the things you love     ",0.148,0.089,0.095,1.67
 3-layers/2-sided scrub sponge , Claim               , Scented (emits pleasant scent while cleaning                     ,0.323,0.136,0.018,2.37
 3-layers/2-sided scrub sponge , Claim               , Transform cleaning into a fun experience with foamy bubble       ,0.15,0.085,0.079,1.75
 3-layers/2-sided scrub sponge , Material            , 100% Recycled PET plastic                                        ,0,0,1,0
 3-layers/2-sided scrub sponge , Material            , Flexible foam (texture changes with water temperature            ,-0.106,0.087,0.219,-1.23
 3-layers/2-sided scrub sponge , Material            ," Man-made fibre (e.g., polyester                                  ",0.14,0.091,0.125,1.53
 3-layers/2-sided scrub sponge , Material            , Melamine foam (magic eraser                                      ,-0.108,0.091,0.238,-1.18
 3-layers/2-sided scrub sponge , Material            , Natural cellulose sponge                                         ,-0.143,0.089,0.108,-1.61
 3-layers/2-sided scrub sponge , Material            , Natural coconut based fibre                                      ,-0.068,0.082,0.404,-0.83
 3-layers/2-sided scrub sponge , Material            , Natural corn based fibre                                         ,-0.12,0.087,0.168,-1.38
 3-layers/2-sided scrub sponge , Material            , Stay Fresh foam (foam that resist stains and odors               ,0,0,1,0
