 Alternative                   , Attribute           , Parameter                                                        ,   Value ,   St-Err ,   P-value ,   T-value 
 Handled Dishwand              , Income              ," 2,000,000 KRW – 2,999,999 KRW                                    ",0.014,0.09,0.878,0.15
 Handled Dishwand              , Income              ," 9,000,000 KRW – 9,999,999 KRW                                    ",0.141,0.121,0.243,1.17
 Handled Dishwand              , Income              ," 10,000,000 KRW and above                                         ",-0.147,0.125,0.237,-1.18
 Handled Dishwand              , Decision_Maker      , I sometimes decide                                               ,-0.055,0.157,0.728,-0.35
 Handled Dishwand              , Brand often brought , 3M                                                               ,0.112,0.158,0.476,0.71
 Handled Dishwand              , Brand often brought , Scotch-Brite by 3M                                               ,0.088,0.149,0.555,0.59
 Handled Dishwand              , Brand often brought , Cleanwrap                                                        ,0.358,0.206,0.083,1.74
 Handled Dishwand              , Brand often brought , Daiso                                                            ,0.029,0.151,0.846,0.19
 Handled Dishwand              , Brand often brought , Kitchen-Art                                                      ,0.104,0.23,0.651,0.45
 Handled Dishwand              , Brand often brought , Scrub daddy                                                      ,0.18,0.188,0.338,0.96
 Handled Dishwand              , Brand often brought , No Brand                                                         ,0.168,0.209,0.42,0.81
 Handled Dishwand              , Brand often brought , Komax                                                            ,0.176,0.246,0.473,0.72
 Handled Dishwand              , Brand often brought , Atomi                                                            ,0.365,0.237,0.123,1.54
 Handled Dishwand              , Brand often brought , Trista (formerly Byulpyo                                         ,0.078,0.256,0.761,0.3
 Handled Dishwand              , Brand often brought , Scott (Yuhan-Kimberly                                            ,0.09,0.189,0.634,0.48
 Handled Dishwand              , Brand often brought , HomePlus PB                                                      ,0.203,0.251,0.419,0.81
 Handled Dishwand              , Brand often brought , Amway                                                            ,-0.036,0.189,0.85,-0.19
 Handled Dishwand              , Brand often brought , Spontex                                                          ,0.044,0.204,0.828,0.22
 Handled Dishwand              , Brand often brought , HankookTamina                                                    ,0.068,0.311,0.827,0.22
 Handled Dishwand              , Brand often brought , Loving Home(Emart PB                                             ,0.479,0.3,0.11,1.6
 Handled Dishwand              , Brand often brought , Frog                                                             ,0.233,0.298,0.433,0.78
 Handled Dishwand              , Brand often brought , Svinto                                                           ,0.027,0.239,0.91,0.11
 Handled Dishwand              , Brand often brought , Lotte e-life                                                     ,0.485,0.283,0.087,1.71
 Handled Dishwand              , Brand often brought , LotteAluminum                                                    ,0.262,0.331,0.429,0.79
 Handled Dishwand              , Brand often brought , Wisewipe                                                         ,0.062,0.299,0.836,0.21
 Handled Dishwand              , Brand often brought , Dearcus                                                          ,0.247,0.315,0.433,0.78
 Handled Dishwand              , Brand often brought , Skrubba                                                          ,0.331,0.262,0.206,1.26
 Large sheet/wipe              , Gender              , Male                                                             ,-0.153,0.07,0.028,-2.19
 Large sheet/wipe              , Income              ," 6,000,000 KRW – 6,999,999 KRW                                    ",-0.047,0.117,0.689,-0.4
 Large sheet/wipe              , Income              ," 4,000,000 KRW – 4,999,999 KRW                                    ",-0.044,0.112,0.693,-0.39
 Large sheet/wipe              , Income              ," 7,000,000 KRW – 7,999,999 KRW                                    ",0.13,0.121,0.283,1.07
 Large sheet/wipe              , Income              ," 8,000,000 KRW – 8,999,999 KRW                                    ",-0.052,0.114,0.65,-0.45
 Large sheet/wipe              , Income              ," 5,000,000 KRW – 5,999,999 KRW                                    ",-0.073,0.104,0.482,-0.7
 Large sheet/wipe              , Income              ," 2,000,000 KRW – 2,999,999 KRW                                    ",0.014,0.097,0.886,0.14
 Large sheet/wipe              , Income              ," 9,000,000 KRW – 9,999,999 KRW                                    ",0.052,0.119,0.659,0.44
 Large sheet/wipe              , Income              ," 10,000,000 KRW and above                                         ",-0.111,0.131,0.396,-0.85
 Large sheet/wipe              , Decision_Maker      , I sometimes decide                                               ,-0.146,0.176,0.407,-0.83
 Large sheet/wipe              , Brand often brought , 3M                                                               ,0.141,0.166,0.395,0.85
 Large sheet/wipe              , Brand often brought , Scotch-Brite by 3M                                               ,-0.043,0.156,0.785,-0.27
 Large sheet/wipe              , Brand often brought , Cleanwrap                                                        ,0.261,0.215,0.224,1.22
 Large sheet/wipe              , Brand often brought , Daiso                                                            ,0.039,0.159,0.804,0.25
 Large sheet/wipe              , Brand often brought , Kitchen-Art                                                      ,-0.05,0.242,0.837,-0.21
 Large sheet/wipe              , Brand often brought , Scrub daddy                                                      ,0.03,0.196,0.879,0.15
 Large sheet/wipe              , Brand often brought , No Brand                                                         ,0.034,0.221,0.879,0.15
 Large sheet/wipe              , Brand often brought , Komax                                                            ,-0.233,0.276,0.398,-0.84
 Large sheet/wipe              , Brand often brought , Atomi                                                            ,0.232,0.241,0.337,0.96
 Large sheet/wipe              , Brand often brought , Trista (formerly Byulpyo                                         ,-0.235,0.293,0.422,-0.8
 Large sheet/wipe              , Brand often brought , Scott (Yuhan-Kimberly                                            ,0.032,0.201,0.874,0.16
 Large sheet/wipe              , Brand often brought , HomePlus PB                                                      ,0.178,0.262,0.497,0.68
 Large sheet/wipe              , Brand often brought , Amway                                                            ,-0.173,0.2,0.387,-0.87
 Large sheet/wipe              , Brand often brought , Spontex                                                          ,-0.1,0.216,0.642,-0.47
 Large sheet/wipe              , Brand often brought , HankookTamina                                                    ,0.05,0.32,0.876,0.16
 Large sheet/wipe              , Brand often brought , Loving Home(Emart PB                                             ,0.568,0.308,0.065,1.84
 Large sheet/wipe              , Brand often brought , Frog                                                             ,0.066,0.307,0.83,0.21
 Large sheet/wipe              , Brand often brought , Svinto                                                           ,0.011,0.248,0.964,0.05
 Large sheet/wipe              , Brand often brought , Lotte e-life                                                     ,0.11,0.276,0.691,0.4
 Large sheet/wipe              , Brand often brought , LotteAluminum                                                    ,0.228,0.348,0.512,0.66
 Large sheet/wipe              , Brand often brought , Wisewipe                                                         ,0.015,0.338,0.964,0.04
 Large sheet/wipe              , Brand often brought , Dearcus                                                          ,0.086,0.319,0.787,0.27
 Large sheet/wipe              , Brand often brought , Skrubba                                                          ,-0.032,0.276,0.907,-0.12
 Metal Ball Scourer            , Gender              , Male                                                             ,-0.194,0.267,0.468,-0.73
 Metal Ball Scourer            , Income              ," 6,000,000 KRW – 6,999,999 KRW                                    ",-0.023,0.416,0.956,-0.06
 Metal Ball Scourer            , Income              ," 4,000,000 KRW – 4,999,999 KRW                                    ",-0.526,0.597,0.378,-0.88
 Metal Ball Scourer            , Income              ," 7,000,000 KRW – 7,999,999 KRW                                    ",-0.484,0.465,0.298,-1.04
 Metal Ball Scourer            , Income              ," 8,000,000 KRW – 8,999,999 KRW                                    ",-0.655,0.685,0.339,-0.96
 Metal Ball Scourer            , Income              ," 5,000,000 KRW – 5,999,999 KRW                                    ",-0.322,0.425,0.449,-0.76
 Metal Ball Scourer            , Income              ," 2,000,000 KRW – 2,999,999 KRW                                    ",-0.482,0.449,0.283,-1.07
 Metal Ball Scourer            , Income              ," 9,000,000 KRW – 9,999,999 KRW                                    ",-1.413,0.974,0.147,-1.45
 Metal Ball Scourer            , Income              ," 10,000,000 KRW and above                                         ",-0.746,0.658,0.256,-1.13
 Metal Ball Scourer            , Decision_Maker      , I sometimes decide                                               ,-0.565,0.723,0.434,-0.78
 Metal Ball Scourer            , Brand often brought , 3M                                                               ,1.153,0.748,0.123,1.54
 Metal Ball Scourer            , Brand often brought , Scotch-Brite by 3M                                               ,0.687,0.538,0.202,1.28
 Metal Ball Scourer            , Brand often brought , Cleanwrap                                                        ,1.376,0.845,0.104,1.63
 Metal Ball Scourer            , Brand often brought , Daiso                                                            ,0.047,0.419,0.911,0.11
 Metal Ball Scourer            , Brand often brought , Kitchen-Art                                                      ,0.041,0.963,0.966,0.04
 Metal Ball Scourer            , Brand often brought , Scrub daddy                                                      ,0,0,1,0
 Metal Ball Scourer            , Brand often brought , No Brand                                                         ,0,0,1,0
 Metal Ball Scourer            , Brand often brought , Komax                                                            ,0,0,1,0
 Metal Ball Scourer            , Brand often brought , Atomi                                                            ,0,0,1,0
 Metal Ball Scourer            , Brand often brought , Trista (formerly Byulpyo                                         ,0,0,1,0
 Metal Ball Scourer            , Brand often brought , Scott (Yuhan-Kimberly                                            ,0.813,0.786,0.301,1.03
 Metal Ball Scourer            , Brand often brought , HomePlus PB                                                      ,1.258,0.978,0.198,1.29
 Metal Ball Scourer            , Brand often brought , Amway                                                            ,0.726,0.728,0.319,1
 Metal Ball Scourer            , Brand often brought , Spontex                                                          ,0.207,0.755,0.784,0.27
 Metal Ball Scourer            , Brand often brought , HankookTamina                                                    ,0,0,1,0
 Metal Ball Scourer            , Brand often brought , Loving Home(Emart PB                                             ,0,0,1,0
 Metal Ball Scourer            , Brand often brought , Frog                                                             ,0,0,1,0
 Metal Ball Scourer            , Brand often brought , Svinto                                                           ,0,0,1,0
 Metal Ball Scourer            , Brand often brought , Lotte e-life                                                     ,0,0,1,0
 Metal Ball Scourer            , Brand often brought , LotteAluminum                                                    ,0,0,1,0
 Metal Ball Scourer            , Brand often brought , Wisewipe                                                         ,0,0,1,0
 Metal Ball Scourer            , Brand often brought , Dearcus                                                          ,0,0,1,0
 Metal Ball Scourer            , Brand often brought , Skrubba                                                          ,0.029,1.021,0.978,0.03
 Net Sponge                    , Gender              , Male                                                             ,-0.179,0.071,0.012,-2.5
 Net Sponge                    , Income              ," 6,000,000 KRW – 6,999,999 KRW                                    ",0.154,0.12,0.199,1.28
 Net Sponge                    , Income              ," 4,000,000 KRW – 4,999,999 KRW                                    ",0.033,0.115,0.772,0.29
 Net Sponge                    , Income              ," 7,000,000 KRW – 7,999,999 KRW                                    ",0.098,0.122,0.422,0.8
 Net Sponge                    , Income              ," 8,000,000 KRW – 8,999,999 KRW                                    ",-0.007,0.118,0.95,-0.06
 Net Sponge                    , Income              ," 5,000,000 KRW – 5,999,999 KRW                                    ",-0.031,0.106,0.767,-0.3
 Net Sponge                    , Income              ," 2,000,000 KRW – 2,999,999 KRW                                    ",0.108,0.099,0.277,1.09
 Net Sponge                    , Income              ," 9,000,000 KRW – 9,999,999 KRW                                    ",0.034,0.122,0.782,0.28
 Net Sponge                    , Income              ," 10,000,000 KRW and above                                         ",-0.232,0.14,0.098,-1.66
 Net Sponge                    , Decision_Maker      , I sometimes decide                                               ,-0.204,0.182,0.264,-1.12
 Net Sponge                    , Brand often brought , 3M                                                               ,0.112,0.173,0.518,0.65
 Net Sponge                    , Brand often brought , Scotch-Brite by 3M                                               ,0.07,0.162,0.666,0.43
 Net Sponge                    , Brand often brought , Cleanwrap                                                        ,0.119,0.215,0.58,0.55
 Net Sponge                    , Brand often brought , Daiso                                                            ,0.152,0.166,0.36,0.92
 Net Sponge                    , Brand often brought , Kitchen-Art                                                      ,-0.169,0.251,0.5,-0.67
 Net Sponge                    , Brand often brought , Scrub daddy                                                      ,-0.014,0.202,0.943,-0.07
 Net Sponge                    , Brand often brought , No Brand                                                         ,0.071,0.229,0.757,0.31
 Net Sponge                    , Brand often brought , Komax                                                            ,-0.045,0.269,0.866,-0.17
 Net Sponge                    , Brand often brought , Atomi                                                            ,0.291,0.25,0.244,1.16
 Net Sponge                    , Brand often brought , Trista (formerly Byulpyo                                         ,0.168,0.281,0.55,0.6
 Net Sponge                    , Brand often brought , Scott (Yuhan-Kimberly                                            ,0.083,0.205,0.686,0.4
 Net Sponge                    , Brand often brought , HomePlus PB                                                      ,-0.266,0.283,0.347,-0.94
 Net Sponge                    , Brand often brought , Amway                                                            ,-0.192,0.206,0.351,-0.93
 Net Sponge                    , Brand often brought , Spontex                                                          ,-0.27,0.229,0.238,-1.18
 Net Sponge                    , Brand often brought , HankookTamina                                                    ,0.104,0.327,0.75,0.32
 Net Sponge                    , Brand often brought , Loving Home(Emart PB                                             ,0.486,0.309,0.116,1.57
 Net Sponge                    , Brand often brought , Frog                                                             ,0.025,0.32,0.938,0.08
 Net Sponge                    , Brand often brought , Svinto                                                           ,-0.004,0.255,0.988,-0.02
 Net Sponge                    , Brand often brought , Lotte e-life                                                     ,-0.127,0.299,0.67,-0.43
 Net Sponge                    , Brand often brought , LotteAluminum                                                    ,0.343,0.355,0.333,0.97
 Net Sponge                    , Brand often brought , Wisewipe                                                         ,-0.232,0.341,0.497,-0.68
 Net Sponge                    , Brand often brought , Dearcus                                                          ,-0.381,0.344,0.268,-1.11
 Net Sponge                    , Brand often brought , Skrubba                                                          ,-0.069,0.288,0.81,-0.24
 Net/Mesh cloth                , Gender              , Male                                                             ,-0.279,0.086,0.001,-3.23
 Net/Mesh cloth                , Income              ," 6,000,000 KRW – 6,999,999 KRW                                    ",0.054,0.124,0.661,0.44
 Net/Mesh cloth                , Income              ," 4,000,000 KRW – 4,999,999 KRW                                    ",0.151,0.126,0.231,1.2
 Net/Mesh cloth                , Income              ," 7,000,000 KRW – 7,999,999 KRW                                    ",0.176,0.132,0.183,1.33
 Net/Mesh cloth                , Income              ," 8,000,000 KRW – 8,999,999 KRW                                    ",0.123,0.125,0.324,0.99
 Net/Mesh cloth                , Income              ," 5,000,000 KRW – 5,999,999 KRW                                    ",-0.021,0.111,0.849,-0.19
 Net/Mesh cloth                , Income              ," 2,000,000 KRW – 2,999,999 KRW                                    ",0.061,0.103,0.55,0.6
 Net/Mesh cloth                , Income              ," 9,000,000 KRW – 9,999,999 KRW                                    ",0,0,1,0
 Net/Mesh cloth                , Income              ," 10,000,000 KRW and above                                         ",0.065,0.144,0.65,0.45
 Net/Mesh cloth                , Decision_Maker      , I sometimes decide                                               ,-0.088,0.182,0.63,-0.48
 Net/Mesh cloth                , Brand often brought , 3M                                                               ,0.064,0.178,0.72,0.36
 Net/Mesh cloth                , Brand often brought , Scotch-Brite by 3M                                               ,-0.03,0.167,0.858,-0.18
 Net/Mesh cloth                , Brand often brought , Cleanwrap                                                        ,0.217,0.228,0.342,0.95
 Net/Mesh cloth                , Brand often brought , Daiso                                                            ,-0.06,0.172,0.727,-0.35
 Net/Mesh cloth                , Brand often brought , Kitchen-Art                                                      ,-0.315,0.278,0.258,-1.13
 Net/Mesh cloth                , Brand often brought , Scrub daddy                                                      ,-0.231,0.221,0.297,-1.04
 Net/Mesh cloth                , Brand often brought , No Brand                                                         ,-0.116,0.241,0.632,-0.48
 Net/Mesh cloth                , Brand often brought , Komax                                                            ,-0.35,0.312,0.262,-1.12
 Net/Mesh cloth                , Brand often brought , Atomi                                                            ,0.137,0.263,0.603,0.52
 Net/Mesh cloth                , Brand often brought , Trista (formerly Byulpyo                                         ,-0.233,0.303,0.442,-0.77
 Net/Mesh cloth                , Brand often brought , Scott (Yuhan-Kimberly                                            ,-0.036,0.216,0.867,-0.17
 Net/Mesh cloth                , Brand often brought , HomePlus PB                                                      ,-0.103,0.282,0.715,-0.37
 Net/Mesh cloth                , Brand often brought , Amway                                                            ,-0.495,0.233,0.034,-2.12
 Net/Mesh cloth                , Brand often brought , Spontex                                                          ,-0.41,0.252,0.104,-1.63
 Net/Mesh cloth                , Brand often brought , HankookTamina                                                    ,0.037,0.338,0.913,0.11
 Net/Mesh cloth                , Brand often brought , Loving Home(Emart PB                                             ,0.008,0.363,0.983,0.02
 Net/Mesh cloth                , Brand often brought , Frog                                                             ,-0.203,0.335,0.545,-0.61
 Net/Mesh cloth                , Brand often brought , Svinto                                                           ,-0.504,0.292,0.085,-1.72
 Net/Mesh cloth                , Brand often brought , Lotte e-life                                                     ,-0.254,0.292,0.384,-0.87
 Net/Mesh cloth                , Brand often brought , LotteAluminum                                                    ,0.368,0.363,0.31,1.01
 Net/Mesh cloth                , Brand often brought , Wisewipe                                                         ,0.089,0.354,0.802,0.25
 Net/Mesh cloth                , Brand often brought , Dearcus                                                          ,-0.715,0.414,0.084,-1.73
 Net/Mesh cloth                , Brand often brought , Skrubba                                                          ,-0.438,0.341,0.199,-1.28
 Scrub Pad                     , Gender              , Male                                                             ,-0.133,0.068,0.051,-1.95
 Scrub Pad                     , Income              ," 6,000,000 KRW – 6,999,999 KRW                                    ",-0.038,0.115,0.741,-0.33
 Scrub Pad                     , Income              ," 4,000,000 KRW – 4,999,999 KRW                                    ",-0.022,0.109,0.843,-0.2
 Scrub Pad                     , Income              ," 7,000,000 KRW – 7,999,999 KRW                                    ",0.02,0.114,0.862,0.17
 Scrub Pad                     , Income              ," 8,000,000 KRW – 8,999,999 KRW                                    ",-0.128,0.114,0.26,-1.13
 Scrub Pad                     , Income              ," 5,000,000 KRW – 5,999,999 KRW                                    ",-0.045,0.101,0.655,-0.45
 Scrub Pad                     , Income              ," 2,000,000 KRW – 2,999,999 KRW                                    ",-0.014,0.094,0.879,-0.15
 Scrub Pad                     , Income              ," 9,000,000 KRW – 9,999,999 KRW                                    ",-0.06,0.135,0.655,-0.45
 Scrub Pad                     , Income              ," 10,000,000 KRW and above                                         ",-0.007,0.129,0.955,-0.06
 Scrub Pad                     , Decision_Maker      , I sometimes decide                                               ,0.002,0.169,0.99,0.01
 Scrub Pad                     , Brand often brought , 3M                                                               ,0.068,0.159,0.672,0.42
 Scrub Pad                     , Brand often brought , Scotch-Brite by 3M                                               ,0.001,0.149,0.994,0.01
 Scrub Pad                     , Brand often brought , Cleanwrap                                                        ,0.229,0.204,0.262,1.12
 Scrub Pad                     , Brand often brought , Daiso                                                            ,0.044,0.152,0.772,0.29
 Scrub Pad                     , Brand often brought , Kitchen-Art                                                      ,0.051,0.227,0.823,0.22
 Scrub Pad                     , Brand often brought , Scrub daddy                                                      ,-0.016,0.186,0.93,-0.09
 Scrub Pad                     , Brand often brought , No Brand                                                         ,0.304,0.214,0.155,1.42
 Scrub Pad                     , Brand often brought , Komax                                                            ,0.138,0.245,0.573,0.56
 Scrub Pad                     , Brand often brought , Atomi                                                            ,0.221,0.239,0.355,0.93
 Scrub Pad                     , Brand often brought , Trista (formerly Byulpyo                                         ,-0.174,0.269,0.517,-0.65
 Scrub Pad                     , Brand often brought , Scott (Yuhan-Kimberly                                            ,0.171,0.194,0.377,0.88
 Scrub Pad                     , Brand often brought , HomePlus PB                                                      ,0.099,0.246,0.688,0.4
 Scrub Pad                     , Brand often brought , Amway                                                            ,-0.157,0.192,0.413,-0.82
 Scrub Pad                     , Brand often brought , Spontex                                                          ,0.257,0.214,0.23,1.2
 Scrub Pad                     , Brand often brought , HankookTamina                                                    ,-0.258,0.306,0.399,-0.84
 Scrub Pad                     , Brand often brought , Loving Home(Emart PB                                             ,0.354,0.321,0.27,1.1
 Scrub Pad                     , Brand often brought , Frog                                                             ,0.312,0.286,0.276,1.09
 Scrub Pad                     , Brand often brought , Svinto                                                           ,-0.164,0.252,0.514,-0.65
 Scrub Pad                     , Brand often brought , Lotte e-life                                                     ,0.384,0.272,0.157,1.41
 Scrub Pad                     , Brand often brought , LotteAluminum                                                    ,0.143,0.341,0.675,0.42
 Scrub Pad                     , Brand often brought , Wisewipe                                                         ,0.244,0.302,0.42,0.81
 Scrub Pad                     , Brand often brought , Dearcus                                                          ,0.16,0.297,0.59,0.54
 Scrub Pad                     , Brand often brought , Skrubba                                                          ,0.248,0.254,0.329,0.98
 Scrub Sponge                  , Gender              , Male                                                             ,-0.016,0.06,0.795,-0.26
 Scrub Sponge                  , Income              ," 6,000,000 KRW – 6,999,999 KRW                                    ",0.086,0.099,0.386,0.87
 Scrub Sponge                  , Income              ," 4,000,000 KRW – 4,999,999 KRW                                    ",-0.002,0.096,0.982,-0.02
 Scrub Sponge                  , Income              ," 7,000,000 KRW – 7,999,999 KRW                                    ",-0.032,0.099,0.743,-0.33
 Scrub Sponge                  , Income              ," 8,000,000 KRW – 8,999,999 KRW                                    ",-0.037,0.098,0.708,-0.37
 Scrub Sponge                  , Income              ," 5,000,000 KRW – 5,999,999 KRW                                    ",-0.07,0.089,0.431,-0.79
 Scrub Sponge                  , Income              ," 2,000,000 KRW – 2,999,999 KRW                                    ",0.006,0.083,0.938,0.08
 Scrub Sponge                  , Income              ," 9,000,000 KRW – 9,999,999 KRW                                    ",-0.1,0.102,0.325,-0.98
 Scrub Sponge                  , Income              ," 10,000,000 KRW and above                                         ",-0.172,0.117,0.141,-1.47
 Scrub Sponge                  , Decision_Maker      , I sometimes decide                                               ,-0.031,0.143,0.827,-0.22
 Scrub Sponge                  , Brand often brought , 3M                                                               ,-0.066,0.14,0.636,-0.47
 Scrub Sponge                  , Brand often brought , Scotch-Brite by 3M                                               ,-0.049,0.13,0.706,-0.38
 Scrub Sponge                  , Brand often brought , Cleanwrap                                                        ,-0.145,0.18,0.418,-0.81
 Scrub Sponge                  , Brand often brought , Daiso                                                            ,-0.013,0.132,0.922,-0.1
 Scrub Sponge                  , Brand often brought , Kitchen-Art                                                      ,-0.028,0.204,0.891,-0.14
 Scrub Sponge                  , Brand often brought , Scrub daddy                                                      ,-0.194,0.174,0.265,-1.12
 Scrub Sponge                  , Brand often brought , No Brand                                                         ,0.05,0.189,0.79,0.27
 Scrub Sponge                  , Brand often brought , Komax                                                            ,-0.128,0.237,0.589,-0.54
 Scrub Sponge                  , Brand often brought , Atomi                                                            ,0.079,0.203,0.696,0.39
 Scrub Sponge                  , Brand often brought , Trista (formerly Byulpyo                                         ,-0.017,0.224,0.939,-0.08
 Scrub Sponge                  , Brand often brought , Scott (Yuhan-Kimberly                                            ,-0.062,0.171,0.718,-0.36
 Scrub Sponge                  , Brand often brought , HomePlus PB                                                      ,-0.201,0.227,0.375,-0.89
 Scrub Sponge                  , Brand often brought , Amway                                                            ,-0.187,0.168,0.264,-1.12
 Scrub Sponge                  , Brand often brought , Spontex                                                          ,-0.174,0.184,0.344,-0.95
 Scrub Sponge                  , Brand often brought , HankookTamina                                                    ,0.023,0.273,0.933,0.08
 Scrub Sponge                  , Brand often brought , Loving Home(Emart PB                                             ,0.316,0.256,0.217,1.24
 Scrub Sponge                  , Brand often brought , Frog                                                             ,-0.166,0.255,0.515,-0.65
 Scrub Sponge                  , Brand often brought , Svinto                                                           ,-0.32,0.215,0.137,-1.49
 Scrub Sponge                  , Brand often brought , Lotte e-life                                                     ,-0.419,0.258,0.105,-1.62
 Scrub Sponge                  , Brand often brought , LotteAluminum                                                    ,0.158,0.276,0.567,0.57
 Scrub Sponge                  , Brand often brought , Wisewipe                                                         ,-0.074,0.264,0.779,-0.28
 Scrub Sponge                  , Brand often brought , Dearcus                                                          ,-0.428,0.298,0.151,-1.44
 Scrub Sponge                  , Brand often brought , Skrubba                                                          ,-0.083,0.238,0.727,-0.35
 Sponge                        , Gender              , Male                                                             ,-0.039,0.073,0.588,-0.54
 Sponge                        , Income              ," 6,000,000 KRW – 6,999,999 KRW                                    ",0.02,0.12,0.87,0.16
 Sponge                        , Income              ," 4,000,000 KRW – 4,999,999 KRW                                    ",-0.065,0.118,0.583,-0.55
 Sponge                        , Income              ," 7,000,000 KRW – 7,999,999 KRW                                    ",-0.04,0.124,0.749,-0.32
 Sponge                        , Income              ," 8,000,000 KRW – 8,999,999 KRW                                    ",-0.141,0.122,0.246,-1.16
 Sponge                        , Income              ," 5,000,000 KRW – 5,999,999 KRW                                    ",-0.03,0.109,0.782,-0.28
 Sponge                        , Income              ," 2,000,000 KRW – 2,999,999 KRW                                    ",0.094,0.102,0.356,0.92
 Sponge                        , Income              ," 9,000,000 KRW – 9,999,999 KRW                                    ",0.114,0.136,0.402,0.84
 Sponge                        , Income              ," 10,000,000 KRW and above                                         ",-0.062,0.134,0.643,-0.46
 Sponge                        , Decision_Maker      , I sometimes decide                                               ,0.034,0.178,0.849,0.19
 Sponge                        , Brand often brought , 3M                                                               ,0.309,0.184,0.092,1.68
 Sponge                        , Brand often brought , Scotch-Brite by 3M                                               ,0.152,0.169,0.367,0.9
 Sponge                        , Brand often brought , Cleanwrap                                                        ,0.202,0.221,0.36,0.92
 Sponge                        , Brand often brought , Daiso                                                            ,0.258,0.175,0.141,1.47
 Sponge                        , Brand often brought , Kitchen-Art                                                      ,0.041,0.244,0.868,0.17
 Sponge                        , Brand often brought , Scrub daddy                                                      ,0.234,0.212,0.271,1.1
 Sponge                        , Brand often brought , No Brand                                                         ,0.327,0.241,0.176,1.35
 Sponge                        , Brand often brought , Komax                                                            ,0.026,0.287,0.928,0.09
 Sponge                        , Brand often brought , Atomi                                                            ,0.292,0.249,0.242,1.17
 Sponge                        , Brand often brought , Trista (formerly Byulpyo                                         ,-0.277,0.321,0.388,-0.86
 Sponge                        , Brand often brought , Scott (Yuhan-Kimberly                                            ,0.089,0.212,0.676,0.42
 Sponge                        , Brand often brought , HomePlus PB                                                      ,0.167,0.279,0.55,0.6
 Sponge                        , Brand often brought , Amway                                                            ,0.077,0.217,0.724,0.35
 Sponge                        , Brand often brought , Spontex                                                          ,-0.008,0.228,0.971,-0.04
 Sponge                        , Brand often brought , HankookTamina                                                    ,0.096,0.343,0.78,0.28
 Sponge                        , Brand often brought , Loving Home(Emart PB                                             ,0.569,0.321,0.077,1.77
 Sponge                        , Brand often brought , Frog                                                             ,-0.285,0.357,0.425,-0.8
 Sponge                        , Brand often brought , Svinto                                                           ,-0.003,0.258,0.99,-0.01
 Sponge                        , Brand often brought , Lotte e-life                                                     ,0.208,0.297,0.483,0.7
 Sponge                        , Brand often brought , LotteAluminum                                                    ,0.329,0.34,0.333,0.97
 Sponge                        , Brand often brought , Wisewipe                                                         ,-0.119,0.351,0.734,-0.34
 Sponge                        , Brand often brought , Dearcus                                                          ,0.016,0.325,0.961,0.05
 Sponge                        , Brand often brought , Skrubba                                                          ,0.109,0.3,0.717,0.36
 Generic                       , Covariance          , Psi01_01                                                         ,1,0,1,0
 Generic                       , Covariance          , Psi02_01                                                         ,0.274,0.211,0.194,1.3
 Generic                       , Covariance          , Psi02_02                                                         ,0.683,0.292,0.019,2.34
 Generic                       , Covariance          , Psi03_01                                                         ,0.5,0,1,0
 Generic                       , Covariance          , Psi03_02                                                         ,0.362,0,1,0
 Generic                       , Covariance          , Psi03_03                                                         ,1.166,1.189,0.327,0.98
 Generic                       , Covariance          , Psi04_01                                                         ,0.224,1652345.975,1,0
 Generic                       , Covariance          , Psi04_02                                                         ,0.286,0,1,0
 Generic                       , Covariance          , Psi04_03                                                         ,0.061,1652445.514,1,0
 Generic                       , Covariance          , Psi04_04                                                         ,0.53,3304708.785,1,0
 Generic                       , Covariance          , Psi05_01                                                         ,0.5,0,1,0
 Generic                       , Covariance          , Psi05_02                                                         ,0.362,0,1,0
 Generic                       , Covariance          , Psi05_03                                                         ,0.719,     nan     ,   nan     ,    nan    
 Generic                       , Covariance          , Psi05_04                                                         ,0.228,     nan     ,   nan     ,    nan    
 Generic                       , Covariance          , Psi05_05                                                         ,1.237,     nan     ,   nan     ,    nan    
 Generic                       , Covariance          , Psi06_01                                                         ,0.5,0,1,0
 Generic                       , Covariance          , Psi06_02                                                         ,0.357,0.532,0.502,0.67
 Generic                       , Covariance          , Psi06_03                                                         ,0.512,0.746,0.493,0.69
 Generic                       , Covariance          , Psi06_04                                                         ,0.261,0,1,0
 Generic                       , Covariance          , Psi06_05                                                         ,0.547,0,1,0
 Generic                       , Covariance          , Psi06_06                                                         ,0.984,1.318,0.455,0.75
 Generic                       , Covariance          , Psi07_01                                                         ,0.817,1086790.871,1,0
 Generic                       , Covariance          , Psi07_02                                                         ,0.449,0,1,0
 Generic                       , Covariance          , Psi07_03                                                         ,0.678,0,1,0
 Generic                       , Covariance          , Psi07_04                                                         ,0.371,1705488.576,1,0
 Generic                       , Covariance          , Psi07_05                                                         ,1.02,     nan     ,   nan     ,    nan    
 Generic                       , Covariance          , Psi07_06                                                         ,0.71,0,1,0
 Generic                       , Covariance          , Psi07_07                                                         ,1.925,2173305.662,1,0
 Generic                       , Covariance          , Psi08_01                                                         ,0.5,0,1,0
 Generic                       , Covariance          , Psi08_02                                                         ,0.366,1278247.561,1,0
 Generic                       , Covariance          , Psi08_03                                                         ,0.583,1278338.183,1,0
 Generic                       , Covariance          , Psi08_04                                                         ,0.254,0,1,0
